date,player,bet,win,x,game,provider,videoUrl,thumb,tags
12.04.2024,Moses,"0,20€","113,22 €","566,1",Wanted Dead or a Wild,Hacksaw Gaming,
17.12.2024,Moses,"0,20€","106,40 €","532,0",Wanted Dead or a Wild,Hacksaw Gaming,
14.03.2025,Moses,"0,60€","178,68 €","297,8",Vending Machine,Hacksaw Gaming,
13.04.2025,Moses,"0,40€","215,44 €","538,6",Tropicool 4,Elk Studios,
14.03.2025,Moses,"1,00€","335,00 €","335,0",Triple Pot Gold,Pragmatic Play,
06.02.2025,Robin,"0,10€","1.502,28 €","15022,8",Tombstone Slaughter: El Gordo,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudutepotagikibegezuwonubawogo?device=desktop&language=de&replayId=zohugahaponiraheyakumudutepotagikibegezuwonubawogo,assets/img/tseg.avif
07.02.2025,Robin,"0,10€","818,70 €","8187,0",Tombstone Slaughter: El Gordo,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudutuyatosugatukaponoyotazea?device=desktop&language=de&replayId=zohugahaponiraheyakumudutuyatosugatukaponoyotazea,assets/img/tseg.avif
05.02.2025,Robin,"0,02€","325,25 €","16262,5",Tombstone Slaughter: El Gordo,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudutesatudakutoukokoyagozobo?device=desktop&language=de&replayId=zohugahaponiraheyakumudutesatudakutoukokoyagozobo,assets/img/tseg.avif
05.02.2025,Robin,"0,02€","290,15 €","14507,5",Tombstone Slaughter: El Gordo,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudutesakutokaihizezahigigao?device=desktop&language=de&replayId=zohugahaponiraheyakumudutesakutokaihizezahigigao,assets/img/tseg.avif
05.02.2025,Robin,"0,02€","278,89 €","13944,5",Tombstone Slaughter: El Gordo,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudutesizeheroyuzasuyugudesia?device=desktop&language=de&replayId=zohugahaponiraheyakumudutesizeheroyuzasuyugudesia,assets/img/tseg.avif
06.02.2025,Robin,"0,02€","269,45 €","13472,5",Tombstone Slaughter: El Gordo,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudutemugazorahubozusokabuzemo?device=desktop&language=de&replayId=zohugahaponiraheyakumudutemugazorahubozusokabuzemo,assets/img/tseg.avif
23.01.2025,Robin,"0,02€","203,11 €","10155,5",Tombstone Slaughter: El Gordo,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudunanimimiguterubipazetipaza?device=desktop&language=de&fromGame=true,assets/img/tseg.avif
07.02.2025,Robin,"0,02€","193,66 €","9683,0",Tombstone Slaughter: El Gordo,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudutuyanumaedegoterodapumuzi?device=desktop&language=de&replayId=zohugahaponiraheyakumudutuyanumaedegoterodapumuzi,assets/img/tseg.avif
07.02.2025,Robin,"0,02€","193,66 €","9683,0",Tombstone Slaughter: El Gordo,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudunanisiwapiusoniedegerute?device=desktop&language=de&replayId=zohugahaponiraheyakumudunanisiwapiusoniedegerute,assets/img/tseg.avif
07.02.2025,Robin,"0,02€","176,45 €","8822,5",Tombstone Slaughter: El Gordo,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumudutuyaerasazoyugoripitobero?device=desktop&language=de&replayId=zohugahaponiraheyakumudutuyaerasazoyugoripitobero,assets/img/tseg.avif
30.01.2025,Planki,"0,20€","118,80 €","594,0",Tombstone Slaughter: El Gordo,Nolimit City,
13.04.2025,Moses,"0,03€","215,70 €","7190,0",Tombstone RIP: El Gordo,Nolimit City,
18.06.2025,Robin,"0,10€","2.288,66€","22886,6",Tombstone RIP,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumuhiduburoderopomakuasizoyogi?device=desktop&language=de,assets/img/tsr.avif
22.06.2024,Robin,"0,10€","960,25 €","9602,5",Tombstone RIP,Nolimit City,https://nolimitcity.com/replay/zohugahaponiraheyakumuhidagisageporeteneebugusigi?device=desktop&language=de,assets/img/tsr.avif
13.04.2025,Moses,"0,20€","376,96 €","1884,8",Tombstone RIP,Nolimit City,
11.12.2024,Moses,"0,04€","306,57 €","8571,0",Tombstone RIP,Nolimit City,
07.12.2024,Moses,"0,10€","306,48 €","3064,8",Tombstone RIP,Nolimit City,
14.03.2025,Moses,"0,04€","276,25 €","6906,3",Tombstone RIP,Nolimit City,
14.03.2025,Moses,"0,04€","218,77 €","5469,3",Tombstone RIP,Nolimit City,
10.12.2024,Moses,"0,40€","176,87 €","442,2",Tombstone RIP,Nolimit City,
13.04.2025,Moses,"0,05€","166,39 €","3327,8",Tombstone RIP,Nolimit City,
14.03.2025,Moses,"0,04€","149,23 €","3730,8",Tombstone RIP,Nolimit City,
13.04.2025,Moses,"0,05€","123,83 €","2476,6",Tombstone RIP,Nolimit City,
13.04.2025,Moses,"0,05€","102,96 €","2059,2",Tombstone RIP,Nolimit City,
19.04.2025,Moses,"0,04€","189,56 €","4739,0",Tombstone Revenge: El Gordo,Nolimit City,
10.12.2024,Moses,"0,20€","554,16 €","2770,8",Tombstone No Mercy,Nolimit City,
04.11.2024,Moses,"0,30€","117,50 €","391,7",Thunder vs Underworld,Pragmatic Play,
17.11.2024,Moses,"0,25€","109,50 €","438,0",The Night Racing,Belatra,
08.04.2025,Robin,"0,40€","119,00 €","297,5",The Doghouse Multihold,Pragmatic Play,
08.04.2025,Robin,"0,60€","112,48 €","187,5",The Doghouse Megaways,Pragmatic Play,
04.11.2024,Moses,"1,60€","1.888,80 €","1180,5",The Dog House Megaways,Pragmatic Play,
08.12.2024,Moses,"0,20€","296,02 €","1480,1",Tanked,Nolimit City,
08.09.2024,Jonas,"0,10€","121,17 €","1211,7",Tai the Toad,Hacksaw Gaming,
10.09.2025,Domi,"2,00€","449,36 €","224,7",Sweet Bonanza 1000,Pragmatic Play,
05.09.2025,Robin,"0,60€","292,05€","486,75",Sweet Bonanza 1000,Pragmatic Play,https://www.pplink.social/d8ofpb755k,assets/img/sb1000.avif
05.09.2025,Robin,"0,20€","178,58€","892,9",Sweet Bonanza 1000,Pragmatic Play,https://www.pplink.social/8sMQpgcnrH,assets/img/sb1000.avif
22.06.2025,Robin,"1,00€","149,50€","149,5",Sweet Bonanza 1000,Pragmatic Play,https://www.pplink.social/PqutFaNzjd,assets/img/sb1000.avif
23.09.2024,Moses,"0,40€","137,36 €","343,4",Sumo Supreme Megaways,Pragmatic Play,
22.06.2024,Robin,"2,00€","4.395,40 €","2197,7",Sugar Rush 1000,Pragmatic Play,https://www.pplink.social/bRRKrjU4o7,assets/img/sr1000.avif
03.04.2025,Robin,"0,08€","987,36€",12342,Sugar Rush 1000,Pragmatic Play,https://www.pplink.social/bRRKrjU4o7,assets/img/sr1000.avif
16.03.2025,Moses,"0,20€","725,77 €","3628,9",Sugar Rush 1000,Pragmatic Play,
02.10.2024,Robin,"0,20€","230,32 €","1151,6",Sugar Rush 1000,Pragmatic Play,
06.09.2024,Robin,"0,12€","174,98 €","1458,2",Sugar Rush 1000,Pragmatic Play,
29.03.2025,Moses,"0,06€","120,58 €","2009,7",Sugar Rush 1000,Pragmatic Play,
31.08.2025,Planki,"0,20€","428,90 €","2144,5",Stormforged,Hacksaw Gaming,https://dhh68l6ktxf70.cloudfront.net/replay-manager/?roundid=12007203976682&partner=2942&language=de-de&channel=desktop,assets/img/storm.avif
13.04.2025,Moses,"0,40€","423,20 €","1058,0",Stormforged,Hacksaw Gaming,
